"Implementation","PKCS#11device","IntelAES-NI","VIAPadLock","ARMv8-A","IntelSGX","IntelQAT","IntelSHA","NXPCAAM"
"Botan","Yes","Yes","No","Yes","No","No","","No"
"BSAFESSL-J","Yes","Yes","No","Yes","No","No","Yes","No"
"cryptlib","Yes","Yes","Yes","No","","No","",""
"Crypto++","","Yes","","","","No","Yes",""
"GnuTLS","Yes","Yes","Yes","Yes","No","No","Yes",""
"JSSE","Yes","Yes","No","No","","No","","No"
"LibreSSL","No","Yes","Yes","No","","No","",""
"MatrixSSL","Yes","Yes","No","Yes","","No","","No"
"MbedTLS","Yes","Yes","Yes","No","","No","","No"
"NSS","Yes","Yes","No","No","","No","","No"
"OpenSSL","Yes","Yes","Yes","Yes","","No","Yes","Partial"
"SChannel","No","Yes","No","No","","No","","No"
"SecureTransport","No","Yes","No","Yes","","No","","No"
"wolfSSL","Yes","Yes","No","Yes","Yes","Yes","","Yes"
"Implementation","PKCS#11device","IntelAES-NI","VIAPadLock","ARMv8-A","IntelSGX","IntelQAT","IntelSHA","NXPCAAM"
